Move;value;visited;score
PROPOSE; value 1: 4.544722250608391; round: 20; ; value 2: 8.585669943675306; round: 20; ; value 3: 5.975643617541969; round: 20; ; value 4: 1.2026980173522803; round: 20; ; value 5: 5.748973397108977; round: 20; ; value 6: 2.336979857297869; round: 20; ; value 7: 1.5879418562736771; round: 20; ; value 8: 7.463078360386293; round: 20; ; value 9: 1.9832659679838374; round: 20; ; value 10: 0.31860320688410815; round: 20; ;0.5468924281767067;54;0.5468924281767067
PROPOSE; value 1: 4.1417967079997275; round: 20; ; value 2: 0.764904423369146; round: 20; ; value 3: 1.6622078265747575; round: 20; ; value 4: 1.4378087135488793; round: 20; ; value 5: 8.395115513031696; round: 20; ; value 6: 0.47918732488725246; round: 20; ; value 7: 5.717464949793669; round: 20; ; value 8: 4.7509636453065465; round: 20; ; value 9: 2.4544327949090663; round: 20; ; value 10: 6.377556268057568; round: 20; ;0.5158644896344897;51;0.5158644896344897
PROPOSE; value 1: 0.10300982239672629; round: 20; ; value 2: 0.904806901393397; round: 20; ; value 3: 3.7685600194221442; round: 20; ; value 4: 1.867300137304043; round: 20; ; value 5: 3.5190549402003692; round: 20; ; value 6: 8.371268534189678; round: 20; ; value 7: 6.145742999533194; round: 20; ; value 8: 5.350855678196899; round: 20; ; value 9: 5.318994581873977; round: 20; ; value 10: 4.458169977296444; round: 20; ;0.5306242612828909;49;0.5306242612828909
PROPOSE; value 1: 6.430330024611752; round: 20; ; value 2: 3.290391518546079; round: 20; ; value 3: 6.201804964903311; round: 20; ; value 4: 0.4319989693458164; round: 20; ; value 5: 2.0612299530765013; round: 20; ; value 6: 2.9221865198931716; round: 20; ; value 7: 2.6355320410340255; round: 20; ; value 8: 1.050246212976509; round: 20; ; value 9: 2.2481695284611; round: 20; ; value 10: 8.092337858327017; round: 20; ;0.5230760621907004;52;0.5230760621907004
PROPOSE; value 1: 1.0204309499271442; round: 20; ; value 2: 3.2802376452398847; round: 20; ; value 3: 6.50614374432004; round: 20; ; value 4: 6.494317469606139; round: 20; ; value 5: 2.931053358042885; round: 20; ; value 6: 6.810205519707308; round: 20; ; value 7: 3.3330789786073747; round: 20; ; value 8: 1.2504085092026775; round: 20; ; value 9: 2.928937829300891; round: 20; ; value 10: 3.3931252943434327; round: 20; ;0.5284543891345903;61;0.5284543891345903
PROPOSE; value 1: 3.0743912692044346; round: 20; ; value 2: 1.9866205541674522; round: 20; ; value 3: 4.936386452863451; round: 20; ; value 4: 6.722598223525328; round: 20; ; value 5: 6.377640323269315; round: 20; ; value 6: 8.96632152366743; round: 20; ; value 7: 1.6167794126206743; round: 20; ; value 8: 1.5380351561511532; round: 20; ; value 9: 2.2737636986893257; round: 20; ; value 10: 2.976340752338464; round: 20; ;0.5174028049027403;58;0.5174028049027403
PROPOSE; value 1: 0.5047314301906831; round: 20; ; value 2: 1.9638036952972657; round: 20; ; value 3: 8.197524888799158; round: 20; ; value 4: 7.914712315704005; round: 20; ; value 5: 4.363197647831118; round: 20; ; value 6: 3.6494629619508; round: 20; ; value 7: 5.821387924157866; round: 20; ; value 8: 8.03290292532372; round: 20; ; value 9: 6.567254937362109; round: 20; ; value 10: 8.625859411702887; round: 20; ;0.5178457913956258;66;0.5178457913956258
PROPOSE; value 1: 4.181346389850286; round: 20; ; value 2: 0.2639552185751486; round: 20; ; value 3: 6.2223780658727055; round: 20; ; value 4: 5.298013293356369; round: 20; ; value 5: 4.035524463971207; round: 20; ; value 6: 6.205378276155033; round: 20; ; value 7: 5.830234649714912; round: 20; ; value 8: 0.7454271718328879; round: 20; ; value 9: 2.9867257238782337; round: 20; ; value 10: 6.106962889262003; round: 20; ;0.5404087645619637;54;0.5404087645619637
PROPOSE; value 1: 5.737958232620558; round: 20; ; value 2: 2.8497412005066742; round: 20; ; value 3: 5.835769990918794; round: 20; ; value 4: 4.136878475235368; round: 20; ; value 5: 6.157447061716891; round: 20; ; value 6: 0.30041702539954573; round: 20; ; value 7: 0.7221060031898646; round: 20; ; value 8: 4.9197012656834715; round: 20; ; value 9: 5.796718352388856; round: 20; ; value 10: 1.7075207370107748; round: 20; ;0.5207649116002959;66;0.5207649116002959
PROPOSE; value 1: 0.5027228286997525; round: 20; ; value 2: 4.6995831153078464; round: 20; ; value 3: 3.068476892221442; round: 20; ; value 4: 1.979312155500983; round: 20; ; value 5: 2.681142479972902; round: 20; ; value 6: 5.826307557400903; round: 20; ; value 7: 7.466249534482242; round: 20; ; value 8: 8.745431347241977; round: 20; ; value 9: 1.0361969945376588; round: 20; ; value 10: 4.791310443186272; round: 20; ;0.5270008936251226;75;0.5270008936251226
PROPOSE; value 1: 5.334131848472549; round: 20; ; value 2: 4.506470373408308; round: 20; ; value 3: 1.79922434741808; round: 20; ; value 4: 0.3314836829627711; round: 20; ; value 5: 3.060895274377828; round: 20; ; value 6: 7.12183455545608; round: 20; ; value 7: 6.646806116629748; round: 20; ; value 8: 0.8872786238097147; round: 20; ; value 9: 2.6489108995765545; round: 20; ; value 10: 5.108958492373596; round: 20; ;0.5398285220737757;62;0.5398285220737757
PROPOSE; value 1: 8.517905018106958; round: 20; ; value 2: 3.0713389058412215; round: 20; ; value 3: 6.118084282776868; round: 20; ; value 4: 0.6137583415057831; round: 20; ; value 5: 6.0921234659899115; round: 20; ; value 6: 0.44161826096825985; round: 20; ; value 7: 0.05170621241715967; round: 20; ; value 8: 3.6600976450796363; round: 20; ; value 9: 7.679388959183387; round: 20; ; value 10: 0.19825151875269242; round: 20; ;0.5468801848624656;74;0.5468801848624656
PROPOSE; value 1: 1.6867518571489597; round: 20; ; value 2: 2.4936732184184036; round: 20; ; value 3: 3.1911671758191833; round: 20; ; value 4: 4.758307056640961; round: 20; ; value 5: 0.8094759113044342; round: 20; ; value 6: 1.9988441495198082; round: 20; ; value 7: 6.0207396667954445; round: 20; ; value 8: 8.497663725354723; round: 20; ; value 9: 0.5407238912871967; round: 20; ; value 10: 8.220728340910204; round: 20; ;0.5098078688651893;58;0.5098078688651893
PROPOSE; value 1: 5.736896343954651; round: 20; ; value 2: 7.16119494172264; round: 20; ; value 3: 6.671815743378407; round: 20; ; value 4: 6.636443102364413; round: 20; ; value 5: 6.717847824016307; round: 20; ; value 6: 3.226093925728704; round: 20; ; value 7: 2.6037367818617394; round: 20; ; value 8: 0.2423919081970466; round: 20; ; value 9: 8.453402179717456; round: 20; ; value 10: 8.960561903885488; round: 20; ;0.5268371765514371;69;0.5268371765514371
